year,month,day,hour,Quarter,Days_since_start,Overturning_Strength
2004,9,21,0,3,173,21.813293
2004,9,21,12,3,173.5,21.600413
2004,9,22,0,3,174,21.492042
2004,9,22,12,3,174.5,21.514014
2004,9,23,0,3,175,21.68384
2004,9,23,12,3,175.5,22.008707
2004,9,24,0,3,176,22.484366
2004,9,24,12,3,176.5,23.095047
2004,9,25,0,3,177,23.814436
2004,9,25,12,3,177.5,24.607619
2004,9,26,0,3,178,25.433804
2004,9,26,12,3,178.5,26.249572
2004,9,27,0,3,179,27.012298
2004,9,27,12,3,179.5,27.68342
2004,9,28,0,3,180,28.231233
2004,9,28,12,3,180.5,28.632941
2004,9,29,0,3,181,28.875811
2004,9,29,12,3,181.5,28.957375
2004,9,30,0,3,182,28.884715
2004,9,30,12,3,182.5,28.672986
2004,10,1,0,4,183,28.343371
2004,10,1,12,4,183.5,27.920733
2004,10,2,0,4,184,27.431188
2004,10,2,12,4,184.5,26.899845
2004,10,3,0,4,185,26.348896
2004,10,3,12,4,185.5,25.796183
2004,10,4,0,4,186,25.254312
2004,10,4,12,4,186.5,24.730352
2004,10,5,0,4,187,24.226074
2004,10,5,12,4,187.5,23.738671
2004,10,6,0,4,188,23.261866
2004,10,6,12,4,188.5,22.787308
2004,10,7,0,4,189,22.306107
2004,10,7,12,4,189.5,21.810406
2004,10,8,0,4,190,21.294858
2004,10,8,12,4,190.5,20.757875
2004,10,9,0,4,191,20.202569
2004,10,9,12,4,191.5,19.637267
2004,10,10,0,4,192,19.075563
2004,10,10,12,4,192.5,18.535861
2004,10,11,0,4,193,18.04041
2004,10,11,12,4,193.5,17.613877
2004,10,12,0,4,194,17.281546
2004,10,12,12,4,194.5,17.067239
2004,10,13,0,4,195,16.991111
2004,10,13,12,4,195.5,17.067499
2004,10,14,0,4,196,17.302969
2004,10,14,12,4,196.5,17.694775
2004,10,15,0,4,197,18.229866
2004,10,15,12,4,197.5,18.884595
2004,10,16,0,4,198,19.625234
2004,10,16,12,4,198.5,20.40933
2004,10,17,0,4,199,21.187892
2004,10,17,12,4,199.5,21.908314
2004,10,18,0,4,200,22.517864
2004,10,18,12,4,200.5,22.967498
2004,10,19,0,4,201,23.215701
2004,10,19,12,4,201.5,23.23204
2004,10,20,0,4,202,23.000072
2004,10,20,12,4,202.5,22.519342
2004,10,21,0,4,203,21.806209
2004,10,21,12,4,203.5,20.893384
2004,10,22,0,4,204,19.828136
2004,10,22,12,4,204.5,18.669284
2004,10,23,0,4,205,17.483174
2004,10,23,12,4,205.5,16.338953
2004,10,24,0,4,206,15.303541
2004,10,24,12,4,206.5,14.436704
2004,10,25,0,4,207,13.78665
2004,10,25,12,4,207.5,13.386521
2004,10,26,0,4,208,13.25208
2004,10,26,12,4,208.5,13.380772
2004,10,27,0,4,209,13.752232
2004,10,27,12,4,209.5,14.330186
2004,10,28,0,4,210,15.06556
2004,10,28,12,4,210.5,15.900537
2004,10,29,0,4,211,16.773199
2004,10,29,12,4,211.5,17.622377
2004,10,30,0,4,212,18.392312
2004,10,30,12,4,212.5,19.036755
2004,10,31,0,4,213,19.522196
2004,10,31,12,4,213.5,19.829978
2004,11,1,0,4,214,19.957161
2004,11,1,12,4,214.5,19.916088
2004,11,2,0,4,215,19.732724
2004,11,2,12,4,215.5,19.443946
2004,11,3,0,4,216,19.094013
2004,11,3,12,4,216.5,18.730552
2004,11,4,0,4,217,18.4004
2004,11,4,12,4,217.5,18.145662
2004,11,5,0,4,218,18.000308
2004,11,5,12,4,218.5,17.98757
2004,11,6,0,4,219,18.118338
2004,11,6,12,4,219.5,18.390633
2004,11,7,0,4,220,18.790156
2004,11,7,12,4,220.5,19.291795
2004,11,8,0,4,221,19.861923
2004,11,8,12,4,221.5,20.461242
2004,11,9,0,4,222,21.047899
2004,11,9,12,4,222.5,21.580633
2004,11,10,0,4,223,22.021678
2004,11,10,12,4,223.5,22.339244
2004,11,11,0,4,224,22.509414
2004,11,11,12,4,224.5,22.517374
2004,11,12,0,4,225,22.357934
2004,11,12,12,4,225.5,22.035375
2004,11,13,0,4,226,21.562691
2004,11,13,12,4,226.5,20.960337
2004,11,14,0,4,227,20.254619
2004,11,14,12,4,227.5,19.475879
2004,11,15,0,4,228,18.65661
2004,11,15,12,4,228.5,17.829643
2004,11,16,0,4,229,17.026492
2004,11,16,12,4,229.5,16.275943
2004,11,17,0,4,230,15.602928
2004,11,17,12,4,230.5,15.027687
2004,11,18,0,4,231,14.565212
2004,11,18,12,4,231.5,14.224948
2004,11,19,0,4,232,14.010705
2004,11,19,12,4,232.5,13.92074
2004,11,20,0,4,233,13.947995
2004,11,20,12,4,233.5,14.080439
2004,11,21,0,4,234,14.301544
2004,11,21,12,4,234.5,14.590878
2004,11,22,0,4,235,14.924845
2004,11,22,12,4,235.5,15.27759
2004,11,23,0,4,236,15.622074
2004,11,23,12,4,236.5,15.931319
2004,11,24,0,4,237,16.179788
2004,11,24,12,4,237.5,16.344842
2004,11,25,0,4,238,16.408187
2004,11,25,12,4,238.5,16.357213
2004,11,26,0,4,239,16.186088
2004,11,26,12,4,239.5,15.896526
2004,11,27,0,4,240,15.498092
2004,11,27,12,4,240.5,15.008009
2004,11,28,0,4,241,14.450415
2004,11,28,12,4,241.5,13.855096
2004,11,29,0,4,242,13.25575
2004,11,29,12,4,242.5,12.68789
2004,11,30,0,4,243,12.186528
2004,11,30,12,4,243.5,11.783793
